Temps (h);Q (mW/g)
26,86;0,420875421
27,03;0,816993464
27,2;0,841750842
27,36;0,420875421
27,53;0,408496732
27,7;0,841750842
27,86;0,420875421
28,03;0,408496732
28,2;0,420875421
28,36;0,420875421
28,53;0,408496732
28,7;0,420875421
28,86;0,420875421
29,03;0,408496732
29,2;0,420875421
29,36;0,420875421
29,53;0,408496732
29,7;0,420875421
29,86;0,420875421
30,03;0
30,2;0,420875421
30,36;0,420875421
30,53;0,408496732
30,7;0,420875421
30,86;0,420875421
31,03;0,408496732
31,2;0,420875421
31,36;0,420875421
31,53;0
31,7;0,420875421
31,86;0,420875421
32,03;0,408496732
32,2;0,420875421
32,36;0
32,53;0,408496732
32,7;0,420875421
32,86;0,420875421
33,03;0,408496732
33,2;0
33,37;0,420875421
33,53;0,420875421
33,7;0
33,87;0,420875421
34,03;0,420875421
34,2;0
34,37;0,420875421
34,53;0,420875421
34,7;0,408496732
34,87;0,420875421
35,03;0
35,2;0,408496732
35,37;0,420875421
35,53;0
35,7;0,408496732
35,87;0,420875421
36,03;0
36,2;0,408496732
36,37;0,420875421
36,53;0
36,7;0
36,87;0,420875421
37,03;0,420875421
37,2;0
37,37;0,420875421
37,53;0,420875421
37,7;0
37,87;0,420875421
38,03;0,420875421
38,2;0
38,37;0,420875421
38,53;0
38,7;0
38,87;0,841750842
39,03;0
39,2;0
39,37;0,420875421
39,53;0
39,7;0
39,87;0,420875421
40,03;0,420875421
40,2;0
40,37;0,420875421
40,53;0,420875421
40,7;0
40,87;0
41,03;0,420875421
41,2;0,408496732
41,37;0
41,53;0
41,7;0,408496732
41,87;0,420875421
42,03;0
42,2;0,841750842
42,37;0
42,53;0,420875421
42,7;0,408496732
42,87;0
43,03;0
43,2;0,408496732
43,37;0,420875421
43,53;0
43,7;0
43,87;0
44,03;0,420875421
44,2;0,408496732
44,37;0
44,53;0,420875421
44,7;0,408496732
44,87;0
45,03;0,841750842
45,2;0,841750842
45,37;0
45,53;0,420875421
45,7;0,408496732
45,87;0,841750842
46,03;0
46,2;0,408496732
46,37;0,841750842
46,53;0,841750842
46,7;0,408496732
46,87;0,841750842
47,03;0
47,2;0,408496732
47,37;0,420875421
47,53;0
47,7;0,841750842
47,87;0,420875421
48,03;0,420875421
48,2;0
48,37;0,841750842
48,53;0,841750842
48,7;0,841750842
48,87;0
49,03;0,420875421
49,2;0,408496732
49,37;0
49,53;0,841750842
49,7;0,841750842
49,87;0,841750842
50,03;0,420875421
50,2;0,408496732
50,37;0
50,53;0,841750842
50,7;0,841750842
50,87;0
51,03;0,420875421
51,2;0
51,37;0
51,53;0,420875421
51,7;0
51,87;0
52,03;0,420875421
52,2;0,408496732
52,37;0
52,53;0,841750842
52,7;0,841750842
52,87;0
53,03;0,420875421
53,2;0,408496732
53,37;0
53,53;0,841750842
53,7;0,841750842
53,87;0,841750842
54,03;0
54,2;0
54,37;0,408496732
54,54;0,420875421
54,7;0
54,87;0,841750842
55,04;0,841750842
55,2;0,841750842
55,37;0,841750842
55,54;0,841750842
55,7;0,841750842
55,87;0
56,04;0,420875421
56,2;0,420875421
56,37;0,841750842
56,54;0,841750842
56,7;0
56,87;0,408496732
57,04;0
57,2;0
57,37;0,408496732
57,54;0
57,7;0,841750842
57,87;0,841750842
58,04;0,841750842
58,2;0
58,37;0
58,54;0,420875421
58,7;0,420875421
58,87;0,841750842
59,04;0,841750842
59,2;0
59,37;0,841750842
59,54;0,841750842
59,7;0,841750842
59,87;0
60,04;0,420875421
60,2;0,420875421
60,37;0
60,54;0
60,7;0
60,87;0
61,04;0,420875421
61,2;0,420875421
61,37;0
61,54;0
61,7;0
61,87;0
62,04;0
62,2;0
62,37;0
62,54;0
62,7;0
62,87;0,841750842
63,04;0
63,2;0,420875421
63,37;0,408496732
63,54;0
63,7;0,420875421
63,87;0
64,04;0,420875421
64,2;0
64,37;0
64,54;0
64,7;0
64,87;0,408496732
65,04;0,420875421
65,2;0,420875421
65,37;0
65,54;0,420875421
65,7;0,841750842
65,87;0
66,04;0
66,2;0
66,37;0
66,54;0
66,7;0,420875421
66,87;0,408496732
67,04;0,420875421
67,2;0
67,37;0
67,54;0
67,7;0
67,87;0
68,04;0
68,2;0
68,37;0
68,54;0
68,7;0,420875421
68,87;0,408496732
69,04;0
69,2;0
69,37;0
69,54;0
69,7;0
69,87;0
70,04;0
70,2;0
70,37;0
70,54;0
70,7;0
70,87;0,408496732
71,04;0
71,2;0
71,37;0,408496732
71,54;0
71,7;0
71,87;0
72,04;-0,51211292
